SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
344176,5230748,Active,currency 1,-670,0,429.0,,,0,247500.0,237069.0,0.0,0.0,Credit card,-146,
344176,5230749,Active,currency 1,-18,0,10941.0,,0.0,0,96750.0,,,0.0,Credit card,-18,9675.0
154747,5011046,Closed,currency 1,-953,0,-830.0,-920.0,,0,20460.33,0.0,,0.0,Consumer credit,-866,
283065,5011316,Active,currency 1,-241,0,490.0,,,0,225000.0,168012.0,0.0,0.0,Consumer credit,-24,11398.5
213493,6558629,Active,currency 1,-1002,0,9955.0,,0.0,0,4500.0,0.0,4500.0,0.0,Credit card,-553,2637.0
213493,6558630,Closed,currency 1,-294,0,-110.0,-110.0,0.0,0,71941.5,0.0,0.0,0.0,Consumer credit,-110,
180741,5811813,Closed,currency 1,-1301,0,-754.0,-750.0,,0,157500.0,0.0,0.0,0.0,Consumer credit,-750,0.0
180741,5811814,Closed,currency 1,-433,0,,-286.0,,0,45000.0,0.0,,0.0,Microloan,-286,0.0
180741,5811815,Closed,currency 1,-609,0,-64.0,-64.0,,0,225000.0,0.0,,0.0,Consumer credit,-64,0.0
180741,5811816,Closed,currency 1,-609,0,-82.0,-64.0,0.0,0,225000.0,,,0.0,Consumer credit,-64,
131421,5811882,Closed,currency 1,-2842,0,-984.0,-1013.0,,0,708842.925,0.0,,0.0,Consumer credit,-895,
131421,5811883,Closed,currency 1,-2032,0,-1850.0,-1853.0,,0,99090.0,0.0,0.0,0.0,Consumer credit,-1764,0.0
178610,5815034,Active,currency 1,-1364,0,-776.0,,,0,0.0,0.0,0.0,0.0,Credit card,-4,
178610,5815035,Closed,currency 1,-782,0,,-419.0,0.0,0,281250.0,0.0,0.0,0.0,Credit card,-414,
178610,5815036,Closed,currency 1,-819,0,-89.0,-89.0,0.0,0,227037.6,0.0,0.0,0.0,Consumer credit,-88,
178610,5815037,Closed,currency 1,-1579,0,-1274.0,-1272.0,0.0,0,101250.0,0.0,0.0,0.0,Consumer credit,-1272,
299564,5574795,Closed,currency 1,-2011,0,-1676.0,-1660.0,,0,118638.0,0.0,0.0,0.0,Consumer credit,-1003,0.0
398163,6579384,Closed,currency 1,-230,0,1596.0,-165.0,,0,989055.0,0.0,0.0,0.0,Consumer credit,-155,0.0
398163,6579385,Closed,currency 1,-1030,0,-790.0,-790.0,,0,59463.0,0.0,0.0,0.0,Consumer credit,-565,0.0
398163,6579386,Active,currency 1,-651,0,712.0,,,0,0.0,0.0,0.0,0.0,Credit card,-193,
398163,6579387,Closed,currency 1,-664,0,-299.0,-540.0,,0,135000.0,0.0,0.0,0.0,Consumer credit,-291,0.0
398163,6579388,Closed,currency 1,-731,0,365.0,-510.0,,0,360000.0,0.0,0.0,0.0,Consumer credit,-291,0.0
398163,6579389,Active,currency 1,-363,0,1463.0,,,0,450000.0,4.5,0.0,0.0,Consumer credit,-193,442975.5
398163,6579390,Active,currency 1,-216,0,1610.0,,,0,180000.0,83736.0,0.0,0.0,Consumer credit,-25,43650.0
398163,6579391,Active,currency 1,-523,0,1303.0,,,0,1440000.0,959782.5,0.0,0.0,Consumer credit,-5,29731.5
398163,6579392,Closed,currency 1,-1398,0,429.0,-567.0,,0,1440000.0,0.0,,0.0,Consumer credit,-567,0.0
398163,6579393,Active,currency 1,-148,0,34.0,,,0,111721.5,,,0.0,Consumer credit,-140,17959.5
398163,6579394,Closed,currency 1,-516,0,5025.0,-446.0,0.0,0,8064000.0,,,0.0,Mortgage,-446,
126707,6566456,Closed,currency 1,-983,0,-771.0,-828.0,,0,18063.18,0.0,,0.0,Consumer credit,-817,
126707,6566457,Closed,currency 1,-166,0,-105.0,-110.0,,0,13500.0,0.0,0.0,0.0,Consumer credit,-109,0.0
126707,6566458,Closed,currency 1,-183,0,-167.0,-171.0,,0,13500.0,0.0,0.0,0.0,Consumer credit,-167,0.0
126707,6566459,Closed,currency 1,-196,0,-180.0,-183.0,,0,9000.0,0.0,0.0,0.0,Consumer credit,-176,0.0
126707,6566460,Closed,currency 1,-212,0,-196.0,-202.0,,0,9000.0,0.0,0.0,0.0,Consumer credit,-193,0.0
126707,6566461,Closed,currency 1,-223,0,-207.0,-222.0,,0,4500.0,0.0,0.0,0.0,Consumer credit,-221,0.0
126707,6566463,Closed,currency 1,-271,0,-255.0,-263.0,,0,9000.0,0.0,0.0,0.0,Consumer credit,-225,0.0
126707,6566464,Closed,currency 1,-304,0,-288.0,-293.0,,0,4500.0,0.0,0.0,0.0,Consumer credit,-225,0.0
126707,6566465,Closed,currency 1,-752,0,344.0,-365.0,,0,315000.0,0.0,0.0,0.0,Consumer credit,-360,188037.0
126707,6566466,Closed,currency 1,-887,0,-691.0,-691.0,,0,20929.5,0.0,0.0,0.0,Consumer credit,-679,0.0
126707,6566467,Active,currency 1,-395,0,1431.0,,,0,1125000.0,1001313.0,0.0,0.0,Consumer credit,-42,31675.5
126707,6566468,Closed,currency 1,-854,0,-701.0,-701.0,5263.29,0,35955.0,0.0,0.0,0.0,Consumer credit,-695,
131286,5789646,Closed,currency 1,-2254,0,8929.0,-1757.0,0.0,0,10125.0,,,0.0,Credit card,-1757,
396041,5790316,Closed,currency 1,-2877,0,-2388.0,-2414.0,,0,134550.0,0.0,,0.0,Consumer credit,-2013,0.0
396041,5790317,Closed,currency 1,-2762,0,-2401.0,-2401.0,,0,135000.0,0.0,,0.0,Credit card,-1019,0.0
396041,5790318,Closed,currency 1,-650,0,-559.0,-535.0,,0,49153.5,,,0.0,Consumer credit,-527,0.0
396041,5790319,Closed,currency 1,-1316,0,,-1216.0,0.0,0,0.0,0.0,0.0,0.0,Credit card,-654,
249909,5925621,Closed,currency 1,-2734,0,-2551.0,-2551.0,0.0,0,46350.0,0.0,0.0,0.0,Consumer credit,-2551,
279940,6098086,Closed,currency 1,-1455,0,-1150.0,-1150.0,,0,120960.0,0.0,0.0,0.0,Consumer credit,-1150,0.0
279940,6098087,Closed,currency 1,-2687,0,-2379.0,-2365.0,,0,60745.5,,,0.0,Consumer credit,-2365,0.0
317249,6066068,Closed,currency 1,-1400,0,-1064.0,-1123.0,,0,33145.2,0.0,,0.0,Consumer credit,-869,
317249,6066069,Active,currency 1,-113,0,221.0,,,0,59097.6,43900.65,,0.0,Consumer credit,-33,
317249,6066070,Active,currency 1,-257,0,963.0,,,0,67500.0,0.0,0.0,0.0,Credit card,-122,
317249,6066072,Closed,currency 1,-331,0,-209.0,-209.0,0.0,0,67068.0,0.0,0.0,0.0,Consumer credit,-156,
317249,6066073,Closed,currency 1,-2144,0,-1048.0,-1383.0,3258.0,0,296100.0,0.0,0.0,0.0,Consumer credit,-1338,
293851,6019008,Active,currency 1,-244,0,86.0,,,0,67500.0,59409.0,0.0,0.0,Credit card,-156,
293851,6019009,Closed,currency 1,-393,0,-378.0,-386.0,,0,13500.0,0.0,,0.0,Microloan,-379,0.0
293851,6019010,Closed,currency 1,-368,0,-353.0,-354.0,,0,13500.0,0.0,,0.0,Microloan,-349,0.0
293851,6019011,Closed,currency 1,-286,0,-271.0,-279.0,,0,13500.0,0.0,,0.0,Microloan,-274,0.0
304977,5946482,Closed,currency 1,-1980,0,-1768.0,-1888.0,,0,37987.38,0.0,,0.0,Consumer credit,-890,
304977,5946483,Closed,currency 1,-1716,0,-1138.0,-1167.0,,0,82559.07,0.0,,0.0,Consumer credit,-890,
304977,5946484,Closed,currency 1,-2086,0,-1752.0,-1872.0,,0,51300.9,0.0,,0.0,Consumer credit,-890,
304977,5946485,Closed,currency 1,-2321,0,-2138.0,-2138.0,,0,18630.0,0.0,0.0,0.0,Consumer credit,-1763,0.0
304977,5946486,Closed,currency 1,-1403,0,-1218.0,-1213.0,,0,66843.0,0.0,0.0,0.0,Consumer credit,-965,0.0
304977,5946487,Closed,currency 1,-1125,0,-941.0,-1003.0,,0,26883.0,0.0,0.0,0.0,Consumer credit,-986,0.0
304977,5946489,Closed,currency 1,-1714,0,-1533.0,-1533.0,,0,24880.5,0.0,,0.0,Consumer credit,-1341,0.0
304977,5946490,Active,currency 1,-301,0,438.0,,0.0,0,276480.0,180440.055,0.0,0.0,Consumer credit,-8,13041.0
304977,5946491,Closed,currency 1,-765,0,-612.0,-612.0,0.0,0,71652.42,0.0,0.0,0.0,Consumer credit,-606,
304977,5946492,Closed,currency 1,-1402,0,-1218.0,-1218.0,0.0,0,66847.275,0.0,0.0,0.0,Consumer credit,-1218,
304977,5946493,Active,currency 1,-2171,0,-1988.0,,2554.38,0,14175.0,0.0,0.0,0.0,Consumer credit,-92,2362.5
126707,6566462,Closed,currency 1,-254,0,-224.0,-230.0,,0,9000.0,0.0,0.0,0.0,Consumer credit,-225,0.0
271368,6298639,Active,currency 1,-1197,0,2455.0,,,0,2250000.0,718866.0,0.0,0.0,Mortgage,-40,12987.0
